state,total_votes,rep_votes,rep_percent,rep_ev,dem_votes,dem_percent,dem_ev,other_votes,other_percent,other_ev,socialist_vote,socialist_percent,socialist_ev
Massachusetts,2469480,976750,39.6,0,1487174.0,60.2,16,,,,,,
Michigan,3318097,1620428,48.8,0,1687269.0,50.9,20,,,,,,
Minnesota,1541887,757915,49.2,0,779933.0,50.6,11,,,,,,
Mississippi,298171,73561,24.7,108362,36.3,0.0,,,,,,,
Missouri,1934422,962221,49.7,0,972201.0,50.3,13,,,,,,
Montana,277579,141841,51.1,4,134891.0,48.6,0,,,,,,
Nebraska,613095,380553,62.1,6,232542.0,37.9,0,,,,,,
Nevada,107267,52387,48.8,0,54880.0,51.2,3,,,,,,
New Hampshire,295761,157989,53.4,4,137772.0,46.6,0,,,,,,
New Jersey,2773111,1363324,49.2,0,1385415.0,50.0,16,,,,,,
New Mexico,311107,153733,49.4,0,156027.0,50.2,4,,,,,,
